id,gender,masterCategory,subCategory,articleType,baseColour,MoodBase,season,usage,productDisplayName
49,Women,Apparel,Topwear,Skirts,Purple,Good,Fall,Casual,"For Women , A deep purple kurta featuring geometric embroidery in beige and orange, with an abstract design that spreads across the front and sleeves For Women ,"
50,Women,Apparel,Topwear,Skirts,ornate,Good,Fall,Casual,"For Women , A dark, ornate kurta with intricate floral and geometric embroidery in shades of pink, purple, and gold For Women ,"
51,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Winter,Casual,"For Women , A navy blue kurta with beige floral and geometric embroidery, featuring vertical stripes and intricate detailing along the sleeves and hem For Women ,"
52,Women,Apparel,Topwear,Skirts,cream,Good,Fall,Casual,"For Women , A cream-colored kurta with detailed brown floral embroidery along the neckline, sleeves, and hem For Women ,"
53,Women,Apparel,Topwear,Skirts,light beige,Good,Fall,Casual,"For Women , A light beige kurta with subtle brown embroidery scattered across the front, sleeves, and neckline For Women ,"
54,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Fall,Casual,"For Women , A navy blue kurta in a relaxed fit, made of lightweight fabric with a smooth texture For Women ,"
55,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Fall,Casual,"For Women , A navy blue kurta with a relaxed fit, made of soft, smooth fabric For Women ,"
56,Women,Apparel,Topwear,Skirts,dark blue,Good,Fall,Casual,"For Women , A dark blue kurta with lightweight fabric, decorated with vertical stripes of red, white, and floral embroidery For Women ,"
57,Women,Apparel,Topwear,Skirts,pastel lavender,Good,Summer,Casual,"For Women , A pastel lavender wrap-style top with a peplum flare, made from soft fabric For Women ,"
58,Women,Apparel,Topwear,Skirts,peach,Good,Fall,Casual,"For Women , A soft peach wrap-style top with a peplum silhouette, crafted from smooth fabric For Women ,"
59,Women,Apparel,Topwear,Skirts,plum,Good,Fall,Casual,"For Women , A rich plum kurta made of soft fabric, featuring intricate multicolored floral embroidery along the neckline and scattered motifs on the body For Women ,"
60,Women,Apparel,Topwear,Skirts,blue,Good,Fall,Casual,"For Women , A blueish teal kurta with soft fabric, adorned with elaborate floral embroidery in bright hues around the neckline and sprinkled across the body For Women ,"
61,Women,Apparel,Topwear,Skirts,black,Good,Winter,Casual,"For Women , A black kurta crafted from soft fabric, featuring bold geometric embroidery in orange and yellow across the front, with vibrant cuff detailing For Women ,"
62,Women,Apparel,Topwear,Skirts,green,Good,Winter,Casual,"For Women , A green kurta with white floral embroidery along the neckline, sleeves, and scattered across the front For Women ,"
63,Women,Apparel,Topwear,Skirts,Beige,Good,Summer,Casual,"For Women , A beige kurta with a smooth texture, featuring subtle brown embroidery on the sleeves and hem For Women ,"
64,Women,Apparel,Topwear,Skirts,dark brown,Good,Summer,Casual,"For Women , A dark brown kurta with vibrant floral embroidery in orange and green on the chest and sleeves For Women ,"
65,Women,Apparel,Topwear,Skirts,Beige,Good,Fall,Casual,"For Women , A beige kurta made of soft fabric, featuring intricate brown embroidery with delicate blue floral accents along the neckline, sleeves, and hem For Women ,"
66,Women,Apparel,Topwear,Skirts,deep green,Good,Fall,Casual,"For Women , A deep green kurta adorned with vibrant pink embroidery along the neckline, sleeves, and sides For Women ,"
67,Women,Apparel,Topwear,Skirts,black,Good,Fall,Casual,"For Women , A black kurta made of lightweight fabric, featuring bold red embroidery along the neckline, cuffs, and hem For Women ,"
68,Women,Apparel,Topwear,Skirts,teal,Good,Fall,Casual,"For Women , A teal kurta adorned with multicolored embroidery on the neckline, cuffs, and hem, with small floral prints scattered across For Women ,"
69,Women,Apparel,Topwear,Skirts,Maroon,Good,Winter,Casual,"For Women , A deep maroon kurta made from soft fabric, featuring intricate black embroidery along the neckline, sleeves, and hem For Women ,"
70,Women,Apparel,Topwear,Skirts,Brown,Good,Summer,Casual,"For Women , A brown kurta with vibrant red embroidery on the neckline, cuffs, and hem For Women ,"
71,Women,Apparel,Topwear,Skirts,Deep Red,Good,Fall,Casual,"For Women , A deep red kurta featuring intricate multicolored geometric embroidery in diamond and cross patterns along the neckline, sleeves, and front For Women ,"
72,Women,Apparel,Topwear,Skirts,lime Green,Good,Summer,Casual,"For Women , A vibrant lime green top with a flared, smocked bodice, featuring delicate floral embroidery on the sleeves and sides For Women ,"
73,Women,Apparel,Topwear,Skirts,pastel Green,Good,Fall,Casual,"For Women , A soft pastel green kurta made from lightweight fabric, adorned with bright pink floral embroidery across the front and sleeves For Women ,"
74,Women,Apparel,Topwear,Skirts,olive Green,Good,Summer,Casual,"For Women , A soft olive-green kurta adorned with bold pink floral embroidery along the neckline, sleeves, and hem, with small geometric diamond motifs scattered throughout For Women ,"
75,Women,Apparel,Topwear,Skirts,mint Green,Good,Summer,Casual,"For Women , A mint green kurta made of soft fabric, featuring intricate white floral and palm tree embroidery along the sleeves and sides For Women ,"
76,Women,Apparel,Topwear,Skirts,light aqua,Good,Summer,Casual,"For Women , A light aqua blue kurta with subtle silver floral embroidery on the sleeves and hem, accented by mirrored diamond shapes For Women ,"
77,Women,Apparel,Topwear,Skirts,Pink,Bad,Summer,Casual,"For Women , A soft pink kurta with a subtle sheen, featuring delicate gold embroidery and metallic accents along the front, sleeves, and hem For Women ,"
78,Women,Apparel,Topwear,Skirts,Pink,Bad,Fall,Casual,"For Women , A soft pink kurta made from lightweight fabric, featuring intricate gold embroidery along the neckline, front panel, and hem For Women ,"
79,Women,Apparel,Topwear,Skirts,Blue,Good,Fall,Casual,"For Women , A beige kurta adorned with vibrant blue floral embroidery along the sleeves, hem, and front panel For Women ,"
80,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Winter,Casual,"For Women , A navy blue kurta made of soft fabric, featuring vertical beige geometric embroidery with vibrant diamond-shaped accents in pink, blue, green, and purple For Women ,"
81,Women,Apparel,Topwear,Skirts,dark gray,Good,Winter,Casual,"For Women , A dark gray kurta adorned with white floral motifs, accented by intricate red embroidery on the cuffs and hem For Women ,"
82,Women,Apparel,Topwear,Skirts,Beige,Good,Winter,Casual,"For Women , A soft beige kurta adorned with a vibrant blue floral pattern and subtle geometric accents For Women ,"
83,Women,Apparel,Topwear,Skirts,black,Good,Fall,Casual,"For Women , A black kurta adorned with delicate floral prints in shades of red, yellow, white, and green For Women ,"
84,Women,Apparel,Topwear,Kurtas,Black,Good,Fall,Casual,"For Women , A black kurta featuring a subtle white cross-patterned geometric print, crafted from soft fabric For Women ,"
85,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A black kurta adorned with a classic white polka dot pattern, made from lightweight fabric For Women ,"
86,Women,Apparel,Topwear,Skirts,Maroon,Good,Winter,Casual,"For Women , A deep maroon kurta featuring a vibrant red and white floral print, crafted from soft fabric For Women ,"
87,Women,Apparel,Topwear,Skirts,mint Green,Good,Fall,Casual,"For Women , A mint green kurta adorned with intricate vertical black geometric embroidery, featuring triangle and diamond patterns For Women ,"
88,Women,Apparel,Topwear,Skirts,Black,Good,Winter,Casual,"For Women , A black A-line kurta adorned with a vibrant floral print in shades of white, pink, and green For Women ,"
89,Women,Apparel,Topwear,Skirts,teal blue,Good,Fall,Casual,"For Women , A teal blue kurta featuring a subtle all-over white dot pattern, crafted from lightweight fabric For Women ,"
90,Women,Apparel,Topwear,Skirts,green,Good,Fall,Casual,"For Women , A dark green kurta featuring a small geometric pattern in light blue, crafted from soft fabric For Women ,"
91,Women,Apparel,Topwear,Skirts,black,Good,Winter,Casual,"For Women , A kurta featuring a cheetah-esque black dotted pattern, made from soft, lightweight fabric For Women ,"
92,Women,Apparel,Topwear,Skirts,Blue,Good,Fall,Casual,"For Women , A deep navy blue kurta adorned with small red polka dots, crafted from comfortable fabric For Women ,"
93,Women,Apparel,Topwear,Skirts,dark teal,Good,Fall,Casual,"For Women , A dark teal kurta with intricate beige floral patterns, crafted from soft fabric For Women ,"
94,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Winter,Casual,"For Women , A navy blue kurta adorned with vibrant pink and white floral embroidery along the neckline and sleeves For Women ,"
95,Women,Apparel,Topwear,Skirts,green,Good,Fall,Casual,"For Women , A vibrant green wrap-style dress with a black floral pattern, featuring a tie-waist and black trim along the neckline and sleeves For Women ,"
96,Women,Apparel,Topwear,Skirts,White,Bad,Fall,Casual,"For Women , A white kurta adorned with intricate pink, green, and brown floral embroidery, crafted from soft fabric For Women ,"
97,Women,Apparel,Topwear,Skirts,White,Bad,Winter,Casual,"For Women , A white kurta made from soft fabric, featuring delicate green floral embroidery along the front, neckline, and cuffs For Women ,"
98,Women,Apparel,Topwear,Skirts,Purple,Good,Fall,Casual,"For Women , A long dress featuring bold vertical stripes in vibrant shades of purple, blue, pink, black, and white For Women ,"
99,Women,Apparel,Topwear,Skirts,Beige,Good,Fall,Casual,"For Women , A long dress with a bold royal blue center panel, complemented by beige side panels adorned with a blue and black floral pattern For Women ,"
100,Women,Apparel,Topwear,Skirts,peach,Good,Winter,Casual,"For Women , A peach kurta featuring delicate blue floral prints, crafted from soft fabric For Women ,"
101,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A black kurta adorned with bold pink and red leaf motifs, crafted from soft fabric For Women ,"
102,Women,Apparel,Topwear,Skirts,Brown,Good,Fall,Casual,"For Women , A brown kurta featuring an intricate turquoise and white floral pattern, crafted from lightweight fabric For Women ,"
103,Women,Apparel,Topwear,Skirts,light teal,Good,Winter,Casual,"For Women , A light teal dress with golden floral motifs, featuring a gathered waistline and flowing silhouette For Women ,"
104,Women,Apparel,Topwear,Skirts,peach,Good,Fall,Casual,"For Women , A vibrant peach dress adorned with bold multicolored fan-like patterns in blue, green, and brown For Women ,"
105,Women,Apparel,Topwear,Skirts,Cream,Bad,Fall,Casual,"For Women , A cream-colored kurta adorned with a small black polka dot pattern, featuring black piping along the collar, cuffs, and hem For Women ,"
106,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Winter,Casual,"For Women , A navy blue kurta with vibrant floral prints in red, white, and green, crafted from soft fabric For Women ,"
107,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A black kurta adorned with intricate white and gold embroidery along the neckline and vertical panels For Women ,"
108,Women,Apparel,Topwear,Skirts,White,Bad,Fall,Casual,"For Women , A long white floral dress with red and green blossoms, featuring a tiered, flowing silhouette and long sleeves For Women ,"
109,Women,Apparel,Topwear,Skirts,mint Green,Good,Winter,Casual,"For Women , A light mint green kurta with black floral motifs, featuring red contrast piping along the collar For Women ,"
110,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Summer,Casual,"For Women , A navy blue oversized t-shirt with a crew neckline, made of cotton fabric For Women ,"
111,Women,Apparel,Topwear,Skirts,Black,Good,Summer,Casual,"For Women , A short-sleeve button-up shirt with a bold black, red, and pink lightning bolt pattern For Women ,"
112,Women,Apparel,Topwear,Skirts,Black,Good,Winter,Casual,"For Women , A black long-sleeve sweatshirt made of cotton fabric, featuring ""Balenciaga Paris"" text and a crest emblem in white with red and blue accents For Women ,"
113,Women,Apparel,Topwear,Coat,camel Brown,Good,Winter,Casual,"For Women , A duffle coat with a camel brown color, made from wool fabric, featuring toggle fastenings and large front pockets For Women ,"
114,Women,Apparel,Topwear,Coat,light beige,Good,Winter,Casual,"For Women , A long quilted coat in light beige, made from padded fabric, featuring a belted waist and high collar For Women ,"
115,Women,Apparel,Topwear,Skirts,Black,Good,Winter,Casual,"For Women , A black quilted midi dress made from padded fabric, featuring a high collar, puff sleeves, and a flared skirt For Women ,"
116,Women,Apparel,Topwear,Jacket,tan,Good,Winter,Casual,"For Women , A tan utility jacket with a relaxed fit, featuring large front flap pockets, high collar, drawstring hem, and long sleeves For Women ,"
117,Women,Apparel,Topwear,Skirts,bright green,Good,Winter,Casual,"For Women , A bright green, long-sleeve textured sweater with a distressed knit pattern, layered over a black skirt hem For Women ,"
118,Women,Apparel,Topwear,Skirts,dark green,Good,Winter,Casual,"For Women , A dark green long-sleeve dress with a fitted bodice and a voluminous tulle skirt For Women ,"
119,Women,Apparel,Topwear,Skirts,dark gray,Good,Winter,Casual,"For Women , A modern, long-sleeve asymmetrical knit dress in solid dark gray, featuring a turtleneck and draped hem, offering a soft texture with a minimalist, casual aesthetic For Women ,"
120,Women,Apparel,Topwear,Sweaters,gray,Good,Fall,Casual,"For Women , A long-sleeve knit sweater with an oversized fit, featuring an argyle pattern in gray, black, and brown, a contrasting beige collar, button placket, and distressed hem for a casual, vintage vibe For Women ,"
121,Women,Apparel,Topwear,Skirts,Yellow,Good,Fall,Casual,"For Women , A long, mustard-yellow hoodie dress with a loose fit, featuring an oversized hood with drawstrings, long sleeves with adjustable ties, and a casual, relaxed aesthetic For Women ,"
122,Women,Apparel,Topwear,Skirts,cream,Good,Fall,Casual,"For Women , A cream-colored satin tunic with a loose fit, featuring long sleeves, a high collar, and subtle detailing along the shoulders For Women ,"
123,Women,Apparel,Topwear,Skirts,light gray,Good,Fall,Casual,"For Women , A light grey oversized tunic made from soft fabric, offering a relaxed fit with raw, unfinished edges around the sleeves and neckline For Women ,"
124,Women,Apparel,Topwear,Skirts,green,Good,Fall,Casual,"For Women , A bold, oversized green sweater with purple and brown diamond patterns, featuring a black collared neckline For Women ,"
125,Women,Apparel,Topwear,Skirts,bright green,Good,Fall,Casual,"For Women , A bright green, ribbed knit dress with a fitted silhouette, featuring flared cuffs and a mermaid-style hem For Women ,"
126,Women,Apparel,Topwear,Skirts,green,Good,Fall,Casual,"For Women , A muted green checkered long-sleeve dress with a high neckline, featuring a soft, textured fabric For Women ,"
127,Women,Apparel,Topwear,Skirts,dark,Good,Summer,Casual,"For Women , A sleek, dark-wash denim dress with long sleeves, featuring a belted waist and buttoned front pockets For Women ,"
128,Women,Apparel,Topwear,Skirts,camel Brown,Good,Winter,Casual,"For Women , A camel-colored long-sleeve sweater dress with bold cobalt blue stripes running along the sleeves For Women ,"
129,Women,Apparel,Topwear,Dress,Blue,Good,Fall,Casual,"For Women , A bright blue high-neck sweater dress with a ribbed texture For Women ,"
130,Women,Apparel,Topwear,Dress,Black,Good,Fall,Casual,"For Women , A long, black sleeveless dress crafted from sheer lace, featuring intricate floral patterns throughout For Women ,"
131,Women,Apparel,Topwear,Sweaters,Cream,Bad,Fall,Casual,"For Women , A cream and brown asymmetrical sweater from Bosie, featuring a bold color-block design For Women ,"
132,Women,Apparel,Topwear,Sweatshirts,Black,Good,Fall,Casual,"For Women , A black and grey long-sleeve sweatshirt from Bosie, featuring a bold graphic design of two abstract figures in monochrome For Women ,"
133,Women,Apparel,Topwear,Sweatshirts,dreamy cloud,Good,Fall,Casual,"For Women , A Bosie sweatshirt in a calming blue and cream color palette, showcasing a dreamy cloud print For Women ,"
134,Women,Apparel,Topwear,Shirts,White,Bad,Fall,Casual,"For Women , A white button-down shirt from Bosie featuring an artistic watercolor pattern in shades of blue, grey, and beige For Women ,"
135,Women,Apparel,Topwear,Hoodie,White,Bad,Fall,Casual,"For Women , A white Bosie hoodie adorned with a playful Doraemon graphic on the front For Women ,"
136,Women,Apparel,Topwear,Jacket,Beige,Good,Fall,Casual,"For Women , A cropped beige jacket from Bosie featuring a unique, asymmetrical open front design For Women ,"
137,Women,Apparel,Topwear,Shirts,Yellow,Good,Fall,Casual,"For Women , A vibrant Bosie button-down shirt with an abstract, watercolor print in bold shades of blue, yellow, and red For Women ,"
138,Women,Apparel,Topwear,Jacket,khakhi,Good,Fall,Casual,"For Women , A sleek khaki bomber jacket from Bosie, featuring a minimalist design with a pointed collar, elastic cuffs, and a cinched waist For Women ,"
139,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A stylish black sweatshirt from Bosie, featuring an eye-catching orange tie design on the front For Women ,"
140,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A distressed black sweater from Bosie with a ribbed texture and frayed hem, giving it an edgy, deconstructed look For Women ,"
141,Women,Apparel,Topwear,Jacket,White,Bad,Fall,Casual,"For Women , A color-blocked sweatshirt from Bosie featuring contrasting panels in black, olive green, and white For Women ,"
142,Women,Apparel,Topwear,Skirts,White,Bad,Fall,Casual,"For Women , A white Bosie sweater featuring abstract green tie-dye patterns across the upper portion and sleeves For Women ,"
143,Women,Apparel,Topwear,Sweatshirts,White,Bad,Fall,Casual,"For Women , A black Bosie sweatshirt with a collared design, featuring white sleeve stripes and geometric embroidery on the front For Women ,"
144,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A black Bosie sweater featuring an oversized white cartoon print at the center For Women ,"
145,Women,Apparel,Topwear,Skirts,Cream,Bad,Fall,Casual,"For Women , A cream-colored Bosie cardigan with black accents, including striped cuffs, pockets, and trim For Women ,"
146,Women,Apparel,Topwear,Skirts,neavy Dior,Good,Fall,Casual,"For Women , A sleek navy Dior sweater with a high collar, featuring the iconic ""DIOR"" logo in a bold beige panel across the chest For Women ,"
147,Women,Apparel,Topwear,Skirts,Cream,Bad,Fall,Casual,"For Women , A cream-colored Bosie sleeveless knit vest with green trim and cable-knit texture For Women ,"
148,Women,Apparel,Topwear,Skirts,gray,Good,Fall,Casual,"For Women , A cozy gray turtleneck sweater from Bosie, featuring a unique patch with a red embroidered design and tassel details For Women ,"
149,Women,Apparel,Topwear,vest,Black,Good,Fall,Casual,"For Women , A bold black and gray checkered vest by Bosie, featuring patch details and contrasting beige trims For Women ,"
150,Women,Apparel,Topwear,Tops,White,Bad,Fall,Casual,"For Women , A unique white short-sleeve shirt paired with an asymmetrical black vest by Bosie For Women ,"
151,Women,Apparel,Topwear,Skirts,off-white,Good,Fall,Casual,"For Women , A chic off-white short-sleeve top featuring blue trims along the square neckline, sleeves, and hem For Women ,"
152,Women,Apparel,Topwear,Skirts,Purple,Good,Fall,Casual,"For Women , A light purple ribbed knit top with a scoop neckline and short puffed sleeves For Women ,"
153,Women,Apparel,Topwear,Shirts,Black,Good,Fall,Casual,"For Women , A black t-shirt with a playful, colorful gummy bear graphic at the center For Women ,"
154,Women,Apparel,Topwear,Skirts,White,Bad,Fall,Casual,"For Women , A white floral blouse adorned with delicate pink roses and soft green leaves For Women ,"
155,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A black cropped long-sleeve top featuring a cute graphic of two cherubs with wings above the word ""DARLEE"" in pink For Women ,"
156,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Fall,Casual,"For Women , A navy blue button-up blouse adorned with a white repetitive horse pattern, paired with a contrasting white Peter Pan collar For Women ,"
157,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A chic cropped blouse with a black and white checkered pattern, featuring short sleeves, a V-neck, and two front flap pockets For Women ,"
158,Women,Apparel,Topwear,Sweaters,teal knit,Good,Fall,Casual,"For Women , A relaxed-fit teal knit sweater with a wide collar and ribbed cuffs and hem For Women ,"
159,Women,Apparel,Topwear,Skirts,Pink,Bad,Fall,Casual,"For Women , A cropped long-sleeve polo shirt with bold pink and white horizontal stripes For Women ,"
160,Women,Apparel,Topwear,Skirts,blue,Good,Fall,Casual,"For Women , A light blue cropped blouse with short puffed sleeves and a contrasting dark navy wide collar For Women ,"
161,Women,Apparel,Topwear,Skirts,green,Good,Fall,Casual,"For Women , A long-sleeve polo shirt featuring olive green and white horizontal stripes with a contrasting yellow collar For Women ,"
162,Women,Apparel,Topwear,Tshirt,pink,Good,Fall,Casual,"For Women , A layered T-shirt with a pastel pink short-sleeve top over rust-colored long sleeves For Women ,"
